Commodity,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,zero_count
Apple(Jholey),115.9090909090909,108.4,93.5,95.1,127.4074074074074,130.72916666666666,105.41666666666667,99.375,105.0,104.88636363636364,112.93478260869566,125.0,172.6,230.48387096774192,143.33333333333334,103.57142857142857,123.97727272727273,114.33333333333333,109.66666666666667,105.0,103.8,103.65384615384616,106.07142857142857,142.41666666666666,128.16666666666666,79.2741935483871,95.96774193548387,97.66666666666667,116.12903225806451,120.66666666666667,87.09677419354838,87.01612903225806,94.3103448275862,101.20689655172414,103.08333333333333,106.7741935483871,109.83333333333333,127.90322580645162,114.6774193548387,123.5,113.38709677419355,103.66666666666667,98.2258064516129,95.64516129032258,100.55555555555556,103.62068965517241,105.0,105.33333333333333,115.0,113.06451612903226,110.96774193548387,111.20689655172414,98.87096774193549,95.0,95.0,98.0,92.14285714285714,92.33333333333333,96.66666666666667,95.0,99.33333333333333,105.0,106.12903225806451,105.0,111.45161290322581,103.66666666666667,101.29032258064517,104.83870967741936,120.35714285714286,122.33333333333333,116.0,139.2741935483871,174.33333333333334,178.2258064516129,157.14285714285714,117.08333333333333,159.03225806451613,125.0,99.19354838709677,95.0,110.17241379310344,206.20689655172413,221.25,176.57894736842104,152.83333333333334,97.0,153.38709677419354,145.66666666666666,170.92592592592592,236.95652173913044,222.29166666666666,203.5483870967742,192.67857142857142,190.0,191.07142857142858,248.33333333333334,0
Arum,35.0,31.66,35.825,37.5,35.630434782608695,37.54347826086956,37.5,37.520833333333336,42.95454545454545,40.65909090909091,47.45652173913044,57.5,0.0,38.55,41.9,37.69230769230769,41.0,36.69642857142857,37.9,40.267857142857146,33.3,33.351851851851855,29.5,27.15,22.0,35.25,35.53333333333333,35.833333333333336,39.25,33.87931034482759,33.145161290322584,36.645161290322584,36.46551724137931,43.62068965517241,45.0,45.0,47.357142857142854,43.54838709677419,35.25806451612903,29.833333333333332,32.583333333333336,33.25,34.516129032258064,36.935483870967744,39.53703703703704,55.08620689655172,52.916666666666664,0.0,47.5,43.9,40.24193548387097,37.8448275862069,39.806451612903224,47.0,47.395833333333336,46.666666666666664,52.5,57.78846153846154,0.0,0.0,0.0,0.0,45.5,50.714285714285715,48.38235294117647,36.12068965517241,42.17741935483871,47.5,47.5,47.5,47.45,0.0,0.0,62.77777777777778,52.5,0.0,55.625,53.425925925925924,52.82258064516129,47.5,47.10344827586207,48.666666666666664,0.0,0.0,0.0,0.0,55.0,59.333333333333336,50.75,53.793103448275865,47.41935483870968,52.41935483870968,51.42857142857143,53.25,56.0,55.0,13
Asparagus,115.0,133.54166666666666,191.66666666666666,229.58333333333334,249.1304347826087,341.6666666666667,0.0,0.0,0.0,411.4583333333333,261.3636363636364,198.91304347826087,165.20833333333334,141.1290322580645,220.5,353.0357142857143,268.0357142857143,550.0,575.0,0.0,0.0,523.0,388.3333333333333,259.9166666666667,235.08333333333334,230.0,236.0483870967742,312.962962962963,347.3076923076923,0.0,0.0,0.0,0.0,0.0,425.0,344.35483870967744,232.66666666666666,240.0,328.2258064516129,375.0,0.0,0.0,0.0,0.0,0.0,0.0,429.54545454545456,386.6666666666667,325.0,325.0,325.0,342.85714285714283,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3888888888889,255.0,255.33333333333334,454.64285714285717,427.22222222222223,1900.0,0.0,0.0,265.0,0.0,772.2222222222222,535.8333333333334,744.2307692307693,46
Bakula,0.0,0.0,0.0,95.0,84.375,87.70833333333333,67.08333333333333,47.75,36.56818181818182,35.36363636363637,28.0,40.5,0.0,0.0,0.0,0.0,95.0,71.1875,60.148148148148145,48.05555555555556,34.12,30.795454545454547,29.27777777777778,34.5,0.0,0.0,0.0,0.0,80.0,57.5,56.61290322580645,62.016129032258064,63.1551724137931,52.689655172413794,56.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,67.7258064516129,58.193548387096776,66.57407407407408,53.36206896551724,49.30555555555556,0.0,0.0,0.0,0.0,0.0,0.0,102.27272727272727,78.52272727272727,65.6896551724138,86.0,71.66666666666667,62.5,0.0,0.0,0.0,0.0,0.0,0.0,97.0,93.08333333333333,77.5,80.20833333333333,58.75,41.470588235294116,0.0,0.0,0.0,0.0,0.0,0.0,101.02941176470588,92.12962962962963,85.71428571428571,85.69444444444444,55.104166666666664,37.5,36.875,0.0,0.0,110.0,0.0,0.0,106.25,107.74193548387096,102.25806451612904,105.35714285714286,61.0,81.4,0.0,40
Bamboo Shoot,56.81818181818182,73.9,64.04761904761905,66.3,55.370370370370374,67.91666666666667,125.0,148.125,153.63636363636363,154.54545454545453,154.1304347826087,140.2173913043478,130.8,134.51612903225808,104.33333333333333,65.17857142857143,67.8409090909091,75.0,75.17857142857143,74.91071428571429,65.0,65.28846153846153,64.44444444444444,62.666666666666664,61.5,64.11290322580645,64.35483870967742,65.0,65.0,75.0,75.16129032258064,74.91935483870968,75.60344827586206,120.08620689655173,147.16666666666666,135.0,135.0,131.1290322580645,124.19354838709677,125.0,125.0,125.0,125.0,125.64516129032258,125.0,123.62068965517241,124.33333333333333,125.0,125.0,123.70967741935483,125.0,125.0,125.0,125.66666666666667,125.0,121.58333333333333,75.08928571428571,75.33333333333333,75.0,75.0,87.0,93.06451612903226,75.0,75.0,75.0,75.6896551724138,100.48387096774194,106.93548387096774,114.28571428571429,115.0,115.0,115.0,115.0,114.35483870967742,115.0,115.66666666666667,115.0,115.66666666666667,114.6774193548387,115.0,115.0,115.51724137931035,115.0,115.16129032258064,114.66666666666667,114.33333333333333,103.38709677419355,95.0,92.93103448275862,85.0,82.09677419354838,77.25806451612904,75.0,75.0,93.0,95.0,0
Banana,66.81818181818181,51.8,55.0,54.9,54.166666666666664,55.104166666666664,45.416666666666664,45.208333333333336,47.06521739130435,51.93181818181818,71.95652173913044,98.47826086956522,84.0,84.66666666666667,64.08333333333333,50.44642857142857,56.13636363636363,56.166666666666664,57.0,56.410714285714285,56.36,68.36538461538461,71.78571428571429,91.75,80.0,75.3225806451613,67.90322580645162,64.16666666666667,64.91935483870968,81.25,76.12903225806451,71.69354838709677,67.75862068965517,75.51724137931035,94.33333333333333,96.29032258064517,82.83333333333333,106.93548387096774,76.85483870967742,74.33333333333333,68.87096774193549,74.0,75.0,75.3225806451613,75.0,82.58620689655173,86.66666666666667,85.66666666666667,88.33333333333333,82.09677419354838,80.48387096774194,66.37931034482759,57.17741935483871,53.583333333333336,52.395833333333336,58.583333333333336,68.66071428571429,103.33333333333333,95.66666666666667,96.61290322580645,96.66666666666667,89.19354838709677,74.51612903225806,70.25,75.3225806451613,93.33333333333333,85.96774193548387,77.58064516129032,83.57142857142857,85.0,93.33333333333333,96.93548387096774,95.66666666666667,95.0,95.64516129032258,91.66666666666667,88.2258064516129,85.33333333333333,85.0,80.80645161290323,80.51724137931035,87.06896551724138,90.0,79.19354838709677,79.0,75.0,86.66666666666667,84.66666666666667,80.25,98.0,97.25806451612904,95.3225806451613,100.71428571428571,98.66666666666667,114.16666666666667,103.46153846153847,0
Barela,0.0,0.0,32.5,75.65217391304348,30.54,33.56521739130435,43.854166666666664,39.54545454545455,42.075,40.79545454545455,33.97826086956522,44.93333333333333,39.31818181818182,0.0,0.0,80.11111111111111,43.095238095238095,22.103448275862068,34.291666666666664,37.611111111111114,35.416666666666664,34.074074074074076,32.80357142857143,31.962962962962962,0.0,0.0,0.0,70.0,48.95,24.516666666666666,41.52,40.45161290322581,37.724137931034484,44.1551724137931,53.2,0.0,0.0,0.0,100.0,0.0,46.630434782608695,20.166666666666668,25.916666666666668,32.88461538461539,28.27777777777778,34.464285714285715,43.05263157894737,0.0,0.0,0.0,0.0,89.44444444444444,51.258620689655174,42.89655172413793,45.833333333333336,44.54545454545455,58.095238095238095,70.76923076923077,66.5,0.0,0.0,0.0,0.0,0.0,47.96,28.466666666666665,36.666666666666664,59.791666666666664,49.09090909090909,62.5,67.5,0.0,0.0,0.0,0.0,0.0,55.0,41.851851851851855,77.5,61.42857142857143,61.0,57.38636363636363,38.05555555555556,37.5,0.0,0.0,0.0,0.0,51.111111111111114,34.23076923076923,77.08333333333333,43.79032258064516,48.660714285714285,47.166666666666664,75.34482758620689,70.45454545454545,29
Bitter Gourd,23.136363636363637,28.68,25.166666666666668,33.1,57.708333333333336,75.76086956521739,75.0,93.64583333333333,87.82608695652173,97.38636363636364,64.0909090909091,35.32608695652174,21.56,31.951612903225808,27.466666666666665,49.160714285714285,50.0,64.88333333333334,73.41666666666667,91.9,118.54166666666667,92.5925925925926,64.44642857142857,20.983333333333334,22.3,35.12903225806452,33.064516129032256,39.21666666666667,54.87096774193548,70.60344827586206,76.09677419354838,98.2258064516129,99.91071428571429,96.72413793103448,72.75,50.0,25.083333333333332,48.32258064516129,41.74193548387097,63.083333333333336,71.85483870967742,66.83333333333333,76.53225806451613,107.0,116.75925925925925,80.17241379310344,65.83333333333333,40.63333333333333,30.933333333333334,34.11290322580645,34.435483870967744,39.91379310344828,61.5,73.70689655172414,56.458333333333336,89.23333333333333,108.33333333333333,105.86538461538461,66.33333333333333,40.88709677419355,40.0,48.306451612903224,44.88709677419355,55.083333333333336,68.79032258064517,60.333333333333336,101.12903225806451,122.4074074074074,188.33333333333334,128.27586206896552,76.91666666666667,50.0,36.166666666666664,60.24193548387097,32.66129032258065,57.333333333333336,91.12068965517241,83.16666666666667,91.69354838709677,117.1774193548387,129.13793103448276,133.75,87.125,37.70967741935484,28.666666666666668,34.741379310344826,30.548387096774192,47.583333333333336,67.8225806451613,78.53448275862068,68.62903225806451,113.54838709677419,129.90740740740742,118.08333333333333,67.08333333333333,19.423076923076923,0
Bottle Gourd,24.90909090909091,27.96,31.261904761904763,31.86,35.416666666666664,42.73913043478261,40.25,37.083333333333336,38.97727272727273,37.31818181818182,32.43478260869565,33.0,26.84,29.419354838709676,21.383333333333333,31.285714285714285,29.5,35.13793103448276,32.3,42.44642857142857,40.44,37.666666666666664,30.303571428571427,13.383333333333333,27.5,35.66129032258065,33.70967741935484,30.566666666666666,38.564516129032256,37.741379310344826,39.91935483870968,41.29032258064516,36.724137931034484,39.13793103448276,46.3,48.225806451612904,36.4,42.5,31.93548387096774,34.333333333333336,35.37096774193548,39.13333333333333,37.016129032258064,34.67741935483871,35.74074074074074,39.327586206896555,39.93333333333333,31.666666666666668,34.166666666666664,38.38709677419355,42.66129032258065,37.58620689655172,43.193548387096776,42.1,37.708333333333336,46.333333333333336,46.01851851851852,42.583333333333336,37.5,36.17741935483871,43.0,49.75806451612903,52.54838709677419,44.416666666666664,32.66129032258065,34.166666666666664,43.91935483870968,51.935483870967744,46.574074074074076,55.092592592592595,48.0,44.11290322580645,49.416666666666664,57.096774193548384,34.516129032258064,40.166666666666664,50.916666666666664,57.583333333333336,52.66129032258065,47.58064516129032,47.8448275862069,51.63793103448276,30.952380952380953,20.107142857142858,22.5,58.666666666666664,42.232142857142854,48.916666666666664,49.274193548387096,45.94827586206897,39.83870967741935,43.95161290322581,54.19642857142857,54.583333333333336,41.666666666666664,17.5,0
Brd Leaf Mustard,42.04545454545455,36.3,51.25,48.7,36.75925925925926,40.3125,17.645833333333332,21.25,15.772727272727273,16.295454545454547,52.41304347826087,68.15217391304348,55.9,65.16129032258064,58.333333333333336,57.870370370370374,50.56818181818182,40.38333333333333,33.88333333333333,31.696428571428573,27.8,23.75925925925926,43.375,34.96551724137931,41.333333333333336,53.306451612903224,54.67741935483871,61.416666666666664,57.66129032258065,43.416666666666664,46.61290322580645,45.32258064516129,44.910714285714285,36.206896551724135,59.833333333333336,74.11290322580645,56.333333333333336,46.225806451612904,77.74193548387096,57.0,53.225806451612904,40.333333333333336,25.725806451612904,30.161290322580644,28.61111111111111,31.29310344827586,42.333333333333336,50.333333333333336,52.5,55.645161290322584,57.33870967741935,53.96551724137931,53.87096774193548,48.95,37.5,49.5,47.857142857142854,49.833333333333336,74.25,58.306451612903224,43.833333333333336,64.43548387096774,99.75,102.41666666666667,55.725806451612904,25.25,29.258064516129032,41.45161290322581,27.678571428571427,28.166666666666668,43.916666666666664,78.79032258064517,58.0,72.1774193548387,74.43548387096774,120.35714285714286,127.90322580645162,51.5,38.87096774193548,32.88709677419355,22.32758620689655,22.90740740740741,36.979166666666664,42.53225806451613,24.333333333333332,60.51724137931034,80.16129032258064,65.33333333333333,67.66129032258064,23.333333333333332,42.096774193548384,35.96774193548387,43.660714285714285,60.166666666666664,66.58333333333333,28.46153846153846,0
